"Mineral Name","IMA Chemistry (plain)","IMA Chemistry (concise)"
"Clinoenstatite","Mg2Si2O6","Mg_2_Si_2_O_6_"
"Clinofergusonite-(Ce)","CeNbO4","CeNbO_4_"
"Clinofergusonite-(Nd)","NdNbO4","NdNbO_4_"
"Clinofergusonite-(Y)","YNbO4","YNbO_4_"
"Clino-ferri-holmquistite","[box]Li2(Mg3Fe3+2)Si8O22(OH)2","[box]Li_2_(Mg_3_Fe^3+^_2_)Si_8_O_22_(OH)_2_"
"Clino-ferro-ferri-holmquistite","[box]Li2(Fe2+3Fe3+2)Si8O22(OH)2","[box]Li_2_(Fe^2+^_3_Fe^3+^_2_)Si_8_O_22_(OH)_2_"
"Clinoferrosilite","Fe2+2Si2O6","Fe^2+^_2_Si_2_O_6_"
"Clinohedrite","CaZn(SiO4)·H2O","CaZn(SiO_4_)·H_2_O"
"Clinohumite","Mg9(SiO4)4F2","Mg_9_(SiO_4_)_4_F_2_"
"Clinojimthompsonite","Mg5Si6O16(OH)2","Mg_5_Si_6_O_16_(OH)_2_"
"Clinokurchatovite","CaMgB2O5","CaMgB_2_O_5_"
"Clinometaborite","HBO2","HBO_2_"
"Clino-oscarkempffite","Ag15Pb6Sb21Bi18S72","Ag_15_Pb_6_Sb_21_Bi_18_S_72_"
"Clinophosinaite","Na3Ca(SiO3)(PO4)","Na_3_Ca(SiO_3_)(PO_4_)"
"Clinoptilolite-Ca","Ca3(Si30Al6)O72·20H2O","Ca_3_(Si_30_Al_6_)O_72_·20H_2_O"
"Clinoptilolite-K","K6(Si30Al6)O72·20H2O","K_6_(Si_30_Al_6_)O_72_·20H_2_O"
"Clinoptilolite-Na","Na6(Si30Al6)O72·20H2O","Na_6_(Si_30_Al_6_)O_72_·20H_2_O"
"Clinosafflorite","CoAs2","CoAs_2_"
"Clino-suenoite","[box]Mn2+2Mg5Si8O22(OH)2","[box]Mn^2+^_2_Mg_5_Si_8_O_22_(OH)_2_"
"Clinosulphur","S","S"
"Clinotobermorite","Ca4Si6O17(H2O)2·(Ca·3H2O)","Ca_4_Si_6_O_17_(H_2_O)_2_·(Ca·3H_2_O)"
"Clinoungemachite","K3Na8Fe3+(SO4)6(OH)2·10H2O","K_3_Na_8_Fe^3+^(SO_4_)_6_(OH)_2_·10H_2_O"
"Clinozoisite","Ca2Al3[Si2O7][SiO4]O(OH)","Ca_2_Al_3_[Si_2_O_7_][SiO_4_]O(OH)"
"Clintonite","CaAlMg2(SiAl3O10)(OH)2","CaAlMg_2_(SiAl_3_O_10_)(OH)_2_"
"Clogauite","PbBi4Te4S3","PbBi_4_Te_4_S_3_"
"Cloncurryite","Cu0.5(VO)0.5Al2(PO4)2F2·5H2O","Cu_0.5_(VO)_0.5_Al_2_(PO_4_)_2_F_2_·5H_2_O"
"Cloudite","BaFe3+3(PO4)(SO4)(OH)6","BaFe^3+^_3_(PO_4_)(SO_4_)(OH)_6_"
"Coalingite","Mg10Fe3+2(CO3)(OH)24·2H2O","Mg_10_Fe^3+^_2_(CO_3_)(OH)_24_·2H_2_O"
"Cobaltarthurite","CoFe3+2(AsO4)2(OH)2·4H2O","CoFe^3+^_2_(AsO_4_)_2_(OH)_2_·4H_2_O"
"Cobaltaustinite","CaCo(AsO4)(OH)","CaCo(AsO_4_)(OH)"
"Cobaltite","CoAsS","CoAsS"
"Cobaltkieserite","Co(SO4)·H2O","Co(SO_4_)·H_2_O"
"Cobaltkoritnigite","Co(AsO3OH)·H2O","Co(AsO_3_OH)·H_2_O"
"Cobaltlotharmeyerite","CaCo2(AsO4)2·2H2O","CaCo_2_(AsO_4_)_2_·2H_2_O"
"Cobaltneustädtelite","Bi2Fe3+(Co,Fe3+)(AsO4)2(O,OH)4","Bi_2_Fe^3+^(Co,Fe^3+^)(AsO_4_)_2_(O,OH)_4_"
"Cobaltoblödite","Na2Co(SO4)2·4H2O","Na_2_Co(SO_4_)_2_·4H_2_O"
"Cobaltomenite","Co(Se4+O3)·2H2O","Co(Se^4+^O_3_)·2H_2_O"
"Cobaltpentlandite","Co9S8","Co_9_S_8_"
"Cobalttsumcorite","PbCo2(AsO4)2·2H2O","PbCo_2_(AsO_4_)_2_·2H_2_O"
"Cobaltzippeite","Co(UO2)2(SO4)O2·3.5H2O","Co(UO_2_)_2_(SO_4_)O_2_·3.5H_2_O"
"Coccinite","HgI2","HgI_2_"
"Cochromite","CoCr2O4","CoCr_2_O_4_"
"Coconinoite","Fe3+2Al2(UO2)2(PO4)4(SO4)(OH)2·20H2O","Fe^3+^_2_Al_2_(UO_2_)_2_(PO_4_)_4_(SO_4_)(OH)_2_·20H_2_O"
"Coesite","SiO2","SiO_2_"
"Coffinite","U(SiO4)·nH2O","U(SiO_4_)·nH_2_O"
"Cohenite","CFe3","CFe_3_"
"Coiraite","(Pb,Sn)12.5As3Sn5FeS28","(Pb,Sn)_12.5_As_3_Sn_5_FeS_28_"
"Colchesterite","Bi3+2Mo6+2O9","Bi^3+^_2_Mo^6+^_2_O_9_"
"Coldwellite","Pd3Ag2S","Pd_3_Ag_2_S"
"Colemanite","CaB3O4(OH)3·H2O","CaB_3_O_4_(OH)_3_·H_2_O"
"Colimaite","K3VS4","K_3_VS_4_"
"Colinowensite","BaCuSi2O6","BaCuSi_2_O_6_"
"Collinsite","Ca2Mg(PO4)2·2H2O","Ca_2_Mg(PO_4_)_2_·2H_2_O"
"Colomeraite","NaTi3+Si2O6","NaTi^3+^Si_2_O_6_"
"Coloradoite","HgTe","HgTe"
"Colquiriite","CaLiAlF6","CaLiAlF_6_"
"Columbite-(Fe)","Fe2+Nb2O6","Fe^2+^Nb_2_O_6_"
"Columbite-(Mg)","MgNb2O6","MgNb_2_O_6_"
"Columbite-(Mn)","Mn2+Nb2O6","Mn^2+^Nb_2_O_6_"
"Colusite","Cu13VAs3S16","Cu_13_VAs_3_S_16_"
"Comancheite","Hg2+55N3-24(NH2,OH)4(Cl,Br)34","Hg^2+^_55_N^3-^_24_(NH_2_,OH)_4_(Cl,Br)_34_"
"Combeite","Na4.5Ca3.5Si6O17.5(OH)0.5","Na_4.5_Ca_3.5_Si_6_O_17.5_(OH)_0.5_"
"Comblainite","Ni4Co3+2(CO3)(OH)12·3H2O","Ni_4_Co^3+^_2_(CO_3_)(OH)_12_·3H_2_O"
"Compreignacite","K2(UO2)6O4(OH)6·7H2O","K_2_(UO_2_)_6_O_4_(OH)_6_·7H_2_O"
"Congolite","Fe2+3B7O13Cl","Fe^2+^_3_B_7_O_13_Cl"
"Conichalcite","CaCu(AsO4)(OH)","CaCu(AsO_4_)(OH)"
"Connellite","Cu36(SO4)(OH)62Cl8·6H2O","Cu_36_(SO_4_)(OH)_62_Cl_8_·6H_2_O"
"Cookeite","(Al,Li)3Al2(Si,Al)4O10(OH)8","(Al,Li)_3_Al_2_(Si,Al)_4_O_10_(OH)_8_"
"Coombsite","KMn2+13(Si,Al)18O42(OH)14","KMn^2+^_13_(Si,Al)_18_O_42_(OH)_14_"
"Cooperite","PtS","PtS"
"Coparsite","Cu2+4O2(AsO4)Cl","Cu^2+^_4_O_2_(AsO_4_)Cl"
"Copiapite","Fe2+Fe3+4(SO4)6(OH)2·20H2O","Fe^2+^Fe^3+^_4_(SO_4_)_6_(OH)_2_·20H_2_O"
"Copper","Cu","Cu"
"Coquandite","Sb3+6+xO8+x(SO4)(OH)x(H2O)1-x (x = 0.3)","Sb^3+^_6+x_O_8+x_(SO_4_)(OH)_x_(H_2_O)_1-x_ (x = 0.3)"
"Coquimbite","AlFe3(SO4)6(H2O)12·6H2O","AlFe_3_(SO_4_)_6_(H_2_O)_12_·6H_2_O"
"Coralloite","Mn2+Mn3+2(AsO4)2(OH)2·4H2O","Mn^2+^Mn^3+^_2_(AsO_4_)_2_(OH)_2_·4H_2_O"
"Corderoite","Hg3S2Cl2","Hg_3_S_2_Cl_2_"
"Cordierite","Mg2Al4Si5O18","Mg_2_Al_4_Si_5_O_18_"
"Cordylite-(Ce)","(Na,Ca,[box])BaCe2(CO3)4(F,O)","(Na,Ca,[box])BaCe_2_(CO_3_)_4_(F,O)"
"Cordylite-(La)","NaCaBa2La3Sr(CO3)8F2","NaCaBa_2_La_3_Sr(CO_3_)_8_F_2_"
"Corkite","PbFe3+3(SO4)(PO4)(OH)6","PbFe^3+^_3_(SO_4_)(PO_4_)(OH)_6_"
"Cornetite","Cu3(PO4)(OH)3","Cu_3_(PO_4_)(OH)_3_"
"Cornubite","Cu5(AsO4)2(OH)4","Cu_5_(AsO_4_)_2_(OH)_4_"
"Cornwallite","Cu5(AsO4)2(OH)4","Cu_5_(AsO_4_)_2_(OH)_4_"
"Coronadite","Pb(Mn4+6Mn3+2)O16","Pb(Mn^4+^_6_Mn^3+^_2_)O_16_"
"Correianevesite","Fe2+Mn2+2(PO4)2·3H2O","Fe^2+^Mn^2+^_2_(PO_4_)_2_·3H_2_O"
"Corrensite","(Ca,Na,K)1-x(Mg,Fe,Al)9(Si,Al)8O20(OH)10·nH2O","(Ca,Na,K)_1-x_(Mg,Fe,Al)_9_(Si,Al)_8_O_20_(OH)_10_·nH_2_O"
"Cortesognoite","CaV2Si2O7(OH)2·H2O","CaV_2_Si_2_O_7_(OH)_2_·H_2_O"
"Corundum","Al2O3","Al_2_O_3_"
"Corvusite","(Na,Ca,K)1-x(V5+,V4+,Fe2+)8O20·4H2O","(Na,Ca,K)_1-x_(V^5+^,V^4+^,Fe^2+^)_8_O_20_·4H_2_O"
"Cosalite","Pb2Bi2S5","Pb_2_Bi_2_S_5_"
"Coskrenite-(Ce)","Ce2(SO4)2(C2O4)·8H2O","Ce_2_(SO_4_)_2_(C_2_O_4_)·8H_2_O"
"Cossaite","(Mg0.5,[box])Al6(SO4)6(HSO4)F6·36H2O","(Mg_0.5_,[box])Al_6_(SO_4_)_6_(HSO_4_)F_6_·36H_2_O"
"Costibite","CoSbS","CoSbS"
"Cotunnite","PbCl2","PbCl_2_"
"Coulsonite","Fe2+V3+2O4","Fe^2+^V^3+^_2_O_4_"
"Cousinite","MgU4+2(MoO4)2(OH)6·2H2O (?)","MgU^4+^_2_(MoO_4_)_2_(OH)_6_·2H_2_O (?)"
"Coutinhoite","ThxBa1-2x(UO2)2Si5O13·3H2O","Th_x_Ba_1-2x_(UO_2_)_2_Si_5_O_13_·3H_2_O"
"Covellite","CuS","CuS"
"Cowlesite","Ca(Al2Si3)O10·5-6H2O","Ca(Al_2_Si_3_)O_10_·5-6H_2_O"
"Coyoteite","NaFe3S5·2H2O","NaFe_3_S_5_·2H_2_O"
"Crandallite","CaAl3(PO4)(PO3OH)(OH)6","CaAl_3_(PO_4_)(PO_3_OH)(OH)_6_"
"Cranswickite","Mg(SO4)·4H2O","Mg(SO_4_)·4H_2_O"
"Crawfordite","Na3Sr(PO4)(CO3)","Na_3_Sr(PO_4_)(CO_3_)"
"Creaseyite","Cu2Pb2Fe3+2Si5O17·6H2O","Cu_2_Pb_2_Fe^3+^_2_Si_5_O_17_·6H_2_O"
"Crednerite","CuMnO2","CuMnO_2_"
"Creedite","Ca3Al2(SO4)(OH)2F8·2H2O","Ca_3_Al_2_(SO_4_)(OH)_2_F_8_·2H_2_O"
"Crerarite","(Pt,Pb)Bi3(S,Se)4-x (x = 0.4-0-8)","(Pt,Pb)Bi_3_(S,Se)_4-x_ (x = 0.4-0-8)"
"Crichtonite","Sr(Mn,Y,U)Fe2(Ti,Fe,Cr,V)18(O,OH)38","Sr(Mn,Y,U)Fe_2_(Ti,Fe,Cr,V)_18_(O,OH)_38_"
"Criddleite","Ag2Au3TlSb10S10","Ag_2_Au_3_TlSb_10_S_10_"
"Crimsonite","PbFe3+2(PO4)2(OH)2","PbFe^3+^_2_(PO_4_)_2_(OH)_2_"
"Cristobalite","SiO2","SiO_2_"
"Crocobelonite","CaFe3+2O(PO4)2","CaFe^3+^_2_O(PO_4_)_2_"
"Crocoite","Pb(CrO4)","Pb(CrO_4_)"
"Cronstedtite","(Fe2+,Fe3+)3(Si,Fe3+)2O5(OH)4","(Fe^2+^,Fe^3+^)_3_(Si,Fe^3+^)_2_O_5_(OH)_4_"
"Cronusite","Ca0.2CrS2·2H2O","Ca_0.2_CrS_2_·2H_2_O"
"Crookesite","Cu7TlSe4","Cu_7_TlSe_4_"
"Crowningshieldite","(Ni0.9Fe0.1)S","(Ni_0.9_Fe_0.1_)S"
"Cryobostryxite","KZnCl3·2H2O","KZnCl_3_·2H_2_O"
"Cryolite","Na2NaAlF6","Na_2_NaAlF_6_"
"Cryolithionite","Na3Al2(LiF4)3","Na_3_Al_2_(LiF_4_)_3_"
"Cryptochalcite","K2Cu5O(SO4)5","K_2_Cu_5_O(SO_4_)_5_"
"Cryptohalite","(NH4)2SiF6","(NH_4_)_2_SiF_6_"
"Cryptomelane","K(Mn4+7Mn3+)O16","K(Mn^4+^_7_Mn^3+^)O_16_"
"Cryptophyllite","K2Ca[Si4O10]·5H2O","K_2_Ca[Si_4_O_10_]·5H_2_O"
"Cualstibite","Cu2Al(OH)6[Sb(OH)6]","Cu_2_Al(OH)_6_[Sb(OH)_6_]"
"Cuatrocapaite-(K)","K3(NaMg[box])(As2O3)6Cl6·16H2O","K_3_(NaMg[box])(As_2_O_3_)_6_Cl_6_·16H_2_O"
"Cuatrocapaite-(NH<sub>4</sub>)","(NH4)3(NaMg[box])(As2O3)6Cl6·16H2O","(NH_4_)_3_(NaMg[box])(As_2_O_3_)_6_Cl_6_·16H_2_O"
"Cubanite","CuFe2S3","CuFe_2_S_3_"
"Cuboargyrite","AgSbS2","AgSbS_2_"
"Cubo-ice","H2O","H_2_O"
"Cubothioplumbite","[Pb4(OH)4]Pb(S2O3)3","[Pb_4_(OH)_4_]Pb(S_2_O_3_)_3_"
"Cumengeite","Pb21Cu20Cl42(OH)40·6H2O","Pb_21_Cu_20_Cl_42_(OH)_40_·6H_2_O"
"Cummingtonite","[box]Mg2Mg5Si8O22(OH)2","[box]Mg_2_Mg_5_Si_8_O_22_(OH)_2_"
"Cupalite","CuAl","CuAl"
"Cuprite","Cu2O","Cu_2_O"
"Cuproauride","Cu3Au","Cu_3_Au"
"Cuprobismutite","Cu8AgBi13S24","Cu_8_AgBi_13_S_24_"
"Cuprocherokeeite","[Pb8Zn3Cu2+(OH)16](SO4)4·4H2O","[Pb_8_Zn_3_Cu^2+^(OH)_16_](SO_4_)_4_·4H_2_O"
"Cuprocopiapite","Cu2+Fe3+4(SO4)6(OH)2·20H2O","Cu^2+^Fe^3+^_4_(SO_4_)_6_(OH)_2_·20H_2_O"
"Cuprodobrovolskyite","Na4Cu(SO4)3","Na_4_Cu(SO_4_)_3_"
"Cuprodongchuanite","Pb4CuZn2(PO4)4(OH)2","Pb_4_CuZn_2_(PO_4_)_4_(OH)_2_"
"Cuproiridsite","Cu(Ir3+Ir4+)S4","Cu(Ir^3+^Ir^4+^)S_4_"
"Cuprokalininite","Cu(Cr3+Cr4+)S4","Cu(Cr^3+^Cr^4+^)S_4_"
"Cupromakopavonite","Cu8Pb4Ag3Bi19S38","Cu_8_Pb_4_Ag_3_Bi_19_S_38_"
"Cupromakovickyite","Cu4AgPb2Bi9S18","Cu_4_AgPb_2_Bi_9_S_18_"
"Cupromolybdite","Cu2+3O(Mo6+O4)2","Cu^2+^_3_O(Mo^6+^O_4_)_2_"
"Cuproneyite","Cu7Pb27Bi25S68","Cu_7_Pb_27_Bi_25_S_68_"
"Cupropavonite","Cu0.9Ag0.5Pb0.6Bi2.5S5","Cu_0.9_Ag_0.5_Pb_0.6_Bi_2.5_S_5_"
"Cupropearceite","[Cu6As2S7][Ag9CuS4]","[Cu_6_As_2_S_7_][Ag_9_CuS_4_]"
"Cupropolybasite","[Cu6Sb2S7][Ag9CuS4]","[Cu_6_Sb_2_S_7_][Ag_9_CuS_4_]"
"Cuprorhodsite","(Cu1+0.5Fe3+0.5)Rh3+2S4","(Cu^1+^_0.5_Fe^3+^_0.5_)Rh^3+^_2_S_4_"
"Cuprorivaite","CaCuSi4O10","CaCuSi_4_O_10_"
"Cuprosklodowskite","Cu(UO2)2(SiO3OH)2·6H2O","Cu(UO_2_)_2_(SiO_3_OH)_2_·6H_2_O"
"Cuprospinel","Cu2+Fe3+2O4","Cu^2+^Fe^3+^_2_O_4_"
"Cuprostibite","Cu2(Sb,Tl)","Cu_2_(Sb,Tl)"
"Cuprotungstite","Cu2+3(WO4)2(OH)2","Cu^2+^_3_(WO_4_)_2_(OH)_2_"
"Cuprozheshengite","Pb4CuZn2(AsO4)2(PO4)2(OH)2","Pb_4_CuZn_2_(AsO_4_)_2_(PO_4_)_2_(OH)_2_"
"Curetonite","Ba(Al,Ti)(PO4)(OH,O)F","Ba(Al,Ti)(PO_4_)(OH,O)F"
"Curienite","Pb(UO2)2(VO4)2·5H2O","Pb(UO_2_)_2_(VO_4_)_2_·5H_2_O"
"Curite","Pb3+x[(UO2)4O4+x(OH)3-x]2·2H2O","Pb_3+x_[(UO_2_)_4_O_4+x_(OH)_3-x_]_2_·2H_2_O"
"Currierite","Na4Ca3MgAl4(AsO3OH)12·9H2O","Na_4_Ca_3_MgAl_4_(AsO_3_OH)_12_·9H_2_O"
"Cuspidine","Ca8(Si2O7)2F4","Ca_8_(Si_2_O_7_)_2_F_4_"
"Cuyaite","Ca2Mn3+As3+14O24Cl","Ca_2_Mn^3+^As^3+^_14_O_24_Cl"
"Cuzticite","Fe3+2Te6+O6·3H2O","Fe^3+^_2_Te^6+^O_6_·3H_2_O"
"Cyanochroite","K2Cu(SO4)2·6H2O","K_2_Cu(SO_4_)_2_·6H_2_O"
"Cyanotrichite","Cu4Al2(SO4)(OH)12(H2O)2","Cu_4_Al_2_(SO_4_)(OH)_12_(H_2_O)_2_"
"Cylindrite","FePb3Sn4Sb2S14","FePb_3_Sn_4_Sb_2_S_14_"
"Cymrite","Ba(Si,Al)4(O,OH)8·H2O","Ba(Si,Al)_4_(O,OH)_8_·H_2_O"
"Cyprine","Ca19Cu2+(Al,Mg)12Si18O69(OH)9","Ca_19_Cu^2+^(Al,Mg)_12_Si_18_O_69_(OH)_9_"
"Cyrilovite","NaFe3+3(PO4)2(OH)4·2H2O","NaFe^3+^_3_(PO_4_)_2_(OH)_4_·2H_2_O"
"Czochralskiite","Na4Ca3Mg(PO4)4","Na_4_Ca_3_Mg(PO_4_)_4_"
"Dachiardite-Ca","Ca2(Si20Al4)O48·13H2O","Ca_2_(Si_20_Al_4_)O_48_·13H_2_O"
"Dachiardite-K","K4(Si20Al4)O48·13H2O","K_4_(Si_20_Al_4_)O_48_·13H_2_O"
"Dachiardite-Na","Na4(Si20Al4)O48·13H2O","Na_4_(Si_20_Al_4_)O_48_·13H_2_O"
"Dadsonite","Pb23Sb25S60Cl","Pb_23_Sb_25_S_60_Cl"
"Dagenaisite","Zn3Te6+O6","Zn_3_Te^6+^O_6_"
"Daliranite","PbHgAs2S5","PbHgAs_2_S_5_"
"Dalnegorskite","Ca5Mn(Si3O9)2","Ca_5_Mn(Si_3_O_9_)_2_"
"Dalnegroite","Tl4Pb2(As,Sb)20S34","Tl_4_Pb_2_(As,Sb)_20_S_34_"
"Dalyite","K2ZrSi6O15","K_2_ZrSi_6_O_15_"
"Damaraite","Pb3O2(OH)Cl","Pb_3_O_2_(OH)Cl"
"Damiaoite","PtIn2","PtIn_2_"
"Danalite","Be3Fe2+4(SiO4)3S","Be_3_Fe^2+^_4_(SiO_4_)_3_S"
"Danbaite","CuZn2","CuZn_2_"
"Danburite","CaB2Si2O8","CaB_2_Si_2_O_8_"
"Danielsite","(Cu,Ag)14HgS8","(Cu,Ag)_14_HgS_8_"
"D'ansite","Na21Mg(SO4)10Cl3","Na_21_Mg(SO_4_)_10_Cl_3_"
"D'ansite-(Fe)","Na21Fe(SO4)10Cl3","Na_21_Fe(SO_4_)_10_Cl_3_"
"D'ansite-(Mn)","Na21Mn(SO4)10Cl3","Na_21_Mn(SO_4_)_10_Cl_3_"
"Dantopaite","Ag5Bi13S22","Ag_5_Bi_13_S_22_"
"Daomanite","CuPtAsS2","CuPtAsS_2_"
"Daqingshanite-(Ce)","Sr3Ce(PO4)(CO3)3","Sr_3_Ce(PO_4_)(CO_3_)_3_"
"Darapiosite","KNa2Mn2(Li2ZnSi12)O30","KNa_2_Mn_2_(Li_2_ZnSi_12_)O_30_"
"Darapskite","Na3(SO4)(NO3)·H2O","Na_3_(SO_4_)(NO_3_)·H_2_O"
"Dargaite","BaCa12(SiO4)4(SO4)2O3","BaCa_12_(SiO_4_)_4_(SO_4_)_2_O_3_"
"Darrellhenryite","Na(Al2Li)Al6(Si6O18)(BO3)3(OH)3O","Na(Al_2_Li)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_O"
"Dashkovaite","Mg(HCOO)2·2H2O","Mg(HCOO)_2_·2H_2_O"
"Datolite","CaB(SiO4)(OH)","CaB(SiO_4_)(OH)"
"Daubréeite","BiO(OH)","BiO(OH)"
"Daubréelite","FeCr2S4","FeCr_2_S_4_"
"Davanite","K2TiSi6O15","K_2_TiSi_6_O_15_"
"Davemaoite","CaSiO3","CaSiO_3_"
"Davidbrownite-(NH<sub>4</sub>)","(NH4)5(V4+O)2(C2O4)[PO2.75(OH)1.25]4·3H2O","(NH_4_)_5_(V^4+^O)_2_(C_2_O_4_)[PO_2.75_(OH)_1.25_]_4_·3H_2_O"
"Davidite-(Ce)","Ce(Y,U)Fe2(Ti,Fe,Cr,V)18(O,OH,F)38","Ce(Y,U)Fe_2_(Ti,Fe,Cr,V)_18_(O,OH,F)_38_"
"Davidite-(La)","La(Y,U)Fe2(Ti,Fe,Cr,V)18(O,OH,F)38","La(Y,U)Fe_2_(Ti,Fe,Cr,V)_18_(O,OH,F)_38_"
"Davidlloydite","Zn3(AsO4)2·4H2O","Zn_3_(AsO_4_)_2_·4H_2_O"
"Davidsmithite","(Ca,[box])2Na6Al8Si8O32","(Ca,[box])_2_Na_6_Al_8_Si_8_O_32_"
"Davinciite","Na12K3Ca6Fe2+3Zr3(Si26O73OH)Cl2","Na_12_K_3_Ca_6_Fe^2+^_3_Zr_3_(Si_26_O_73_OH)Cl_2_"
"Davisite","CaScAlSiO6","CaScAlSiO_6_"
"Davreuxite","Mn2+Al6Si4O17(OH)2","Mn^2+^Al_6_Si_4_O_17_(OH)_2_"
"Davyne","[(Na,K)6(SO4)0.5Cl][Ca2Cl2][(Si6Al6O24)]","[(Na,K)_6_(SO_4_)_0.5_Cl][Ca_2_Cl_2_][(Si_6_Al_6_O_24_)]"
"Dawsonite","NaAl(CO3)(OH)2","NaAl(CO_3_)(OH)_2_"
"Deanesmithite","Hg1+2Hg2+3S2O(CrO4)","Hg^1+^_2_Hg^2+^_3_S_2_O(CrO_4_)"
"Debattistiite","Ag9Hg0.5As6S12Te2","Ag_9_Hg_0.5_As_6_S_12_Te_2_"
"Decagonite","Al71Ni24Fe5","Al_71_Ni_24_Fe_5_"
"Decrespignyite-(Y)","Y4Cu(CO3)4Cl(OH)5·2H2O","Y_4_Cu(CO_3_)_4_Cl(OH)_5_·2H_2_O"
"Deerite","Fe2+6Fe3+3(Si6O17)O3(OH)5","Fe^2+^_6_Fe^3+^_3_(Si_6_O_17_)O_3_(OH)_5_"
"Defernite","Ca6(CO3)1.58(Si2O7)0.21(OH)7[Cl0.50(OH)0.08(H2O)0.42]","Ca_6_(CO_3_)_1.58_(Si_2_O_7_)_0.21_(OH)_7_[Cl_0.50_(OH)_0.08_(H_2_O)_0.42_]"
"Dekatriasartorite","TlPb58As97S204","TlPb_58_As_97_S_204_"
"Delafossite","Cu1+Fe3+O2","Cu^1+^Fe^3+^O_2_"
"Delhayelite","K7Na3Ca5Al2Si14O38F4Cl2","K_7_Na_3_Ca_5_Al_2_Si_14_O_38_F_4_Cl_2_"
"Delhuyarite-(Ce)","Ce4Mg(Fe3+2W)[box](Si2O7)2O6(OH)2","Ce_4_Mg(Fe^3+^_2_W)[box](Si_2_O_7_)_2_O_6_(OH)_2_"
"Deliensite","Fe2+(UO2)2(SO4)2(OH)2·7H2O","Fe^2+^(UO_2_)_2_(SO_4_)_2_(OH)_2_·7H_2_O"
"Delindeite","Ba2Ti2(Na2[box])Ti(Si2O7)2(OH)2(H2O)2O2","Ba_2_Ti_2_(Na_2_[box])Ti(Si_2_O_7_)_2_(OH)_2_(H_2_O)_2_O_2_"
"Dellagiustaite","V2+Al2O4","V^2+^Al_2_O_4_"
"Dellaite","Ca6(Si2O7)(SiO4)(OH)2","Ca_6_(Si_2_O_7_)(SiO_4_)(OH)_2_"
"Deloneite","(Na0.5REE0.25Ca0.25)(Ca0.75REE0.25)Sr1.5(CaNa0.25REE0.25)(PO4)3F0.5(OH)0.5","(Na_0.5_REE_0.25_Ca_0.25_)(Ca_0.75_REE_0.25_)Sr_1.5_(CaNa_0.25_REE_0.25_)(PO_4_)_3_F_0.5_(OH)_0.5_"
"Deloryite","Cu4(UO2)Mo2O8(OH)6","Cu_4_(UO_2_)Mo_2_O_8_(OH)_6_"
"Delrioite","Sr(VO3)2·4H2O","Sr(VO_3_)_2_·4H_2_O"
"Deltalumite","(Al0.67[box]0.33)Al2O4","(Al_0.67_[box]_0.33_)Al_2_O_4_"
"Deltanitrogen","N","N"
"Delvauxite","CaFe3+4(PO4)2(OH)8·4-5H2O","CaFe^3+^_4_(PO_4_)_2_(OH)_8_·4-5H_2_O"
"Demagistrisite","BaCa2Mn3+4(Si3O10)(Si2O7)(OH)4·3H2O","BaCa_2_Mn^3+^_4_(Si_3_O_10_)(Si_2_O_7_)(OH)_4_·3H_2_O"
"Demartinite","K2SiF6","K_2_SiF_6_"
"Demesmaekerite","Pb2Cu5(UO2)2(Se4+O3)6(OH)6·2H2O","Pb_2_Cu_5_(UO_2_)_2_(Se^4+^O_3_)_6_(OH)_6_·2H_2_O"
"Demicheleite-(Br)","BiSBr","BiSBr"
"Demicheleite-(Cl)","BiSCl","BiSCl"
"Demicheleite-(I)","BiSI","BiSI"
"Dendoraite-(NH<sub>4</sub>)","(NH4)2NaAl(C2O4)(PO3OH)2(H2O)2","(NH_4_)_2_NaAl(C_2_O_4_)(PO_3_OH)_2_(H_2_O)_2_"
"Denisovite","KCa2Si3O8F","KCa_2_Si_3_O_8_F"
"Denningite","CaMn2+Te4+4O10","CaMn^2+^Te^4+^_4_O_10_"
"Depmeierite","Na8[Al6Si6O24](PO4,CO3)1-x·3H2O (x< 0.5)","Na_8_[Al_6_Si_6_O_24_](PO_4_,CO_3_)_1-x_·3H_2_O (x< 0.5)"
"Derbylite","Fe3+4Ti4+3Sb3+O13(OH)","Fe^3+^_4_Ti^4+^_3_Sb^3+^O_13_(OH)"
"Derriksite","Cu4(UO2)(Se4+O3)2(OH)6","Cu_4_(UO_2_)(Se^4+^O_3_)_2_(OH)_6_"
"Dervillite","Ag2AsS2","Ag_2_AsS_2_"
"Desautelsite","Mg6Mn3+2(CO3)(OH)16·4H2O","Mg_6_Mn^3+^_2_(CO_3_)(OH)_16_·4H_2_O"
"Descloizite","PbZn(VO4)(OH)","PbZn(VO_4_)(OH)"
"Despujolsite","Ca3Mn4+(SO4)2(OH)6·3H2O","Ca_3_Mn^4+^(SO_4_)_2_(OH)_6_·3H_2_O"
"Dessauite-(Y)","Sr(Y,U,Mn)Fe2(Ti,Fe,Cr,V)18(O,OH)38","Sr(Y,U,Mn)Fe_2_(Ti,Fe,Cr,V)_18_(O,OH)_38_"
"Destinezite","Fe3+2(PO4)(SO4)(OH)·6H2O","Fe^3+^_2_(PO_4_)(SO_4_)(OH)·6H_2_O"
"Deveroite-(Ce)","Ce2(C2O4)3·10H2O","Ce_2_(C_2_O_4_)_3_·10H_2_O"
