"Mineral Name","IMA Chemistry (plain)","IMA Chemistry (concise)"
"Mangani-dellaventuraite","NaNa2(MgMn3+2Ti4+Li)Si8O22O2","NaNa_2_(MgMn^3+^_2_Ti^4+^Li)Si_8_O_22_O_2_"
"Mangani-eckermannite","NaNa2(Mg4Mn3+)Si8O22(OH)2","NaNa_2_(Mg_4_Mn^3+^)Si_8_O_22_(OH)_2_"
"Manganilvaite","CaFe2+Fe3+Mn2+(Si2O7)O(OH)","CaFe^2+^Fe^3+^Mn^2+^(Si_2_O_7_)O(OH)"
"Mangani-obertiite","NaNa2(Mg3Mn3+Ti4+)Si8O22O2","NaNa_2_(Mg_3_Mn^3+^Ti^4+^)Si_8_O_22_O_2_"
"Mangani-pargasite","NaCa2(Mg4Mn3+)(Si6Al2)O22(OH)2","NaCa_2_(Mg_4_Mn^3+^)(Si_6_Al_2_)O_22_(OH)_2_"
"Manganite","Mn3+O(OH)","Mn^3+^O(OH)"
"Manganlotharmeyerite","CaMn3+2(AsO4)2(OH)2","CaMn^3+^_2_(AsO_4_)_2_(OH)_2_"
"Manganoarrojadite-(KNa)","KNa5MnFe13Al(PO4)11(PO3OH)(OH)2","KNa_5_MnFe_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_"
"Manganobadalovite","NaNaMn(MgFe3+)(AsO4)3","NaNaMn(MgFe^3+^)(AsO_4_)_3_"
"Manganoblödite","Na2Mn(SO4)2·4H2O","Na_2_Mn(SO_4_)_2_·4H_2_O"
"Manganochromite","Mn2+Cr2O4","Mn^2+^Cr_2_O_4_"
"Manganoeudialyte","Na14Ca6Mn3Zr3[Si26O72(OH)2](H2O,Cl,O,OH)6","Na_14_Ca_6_Mn_3_Zr_3_[Si_26_O_72_(OH)_2_](H_2_O,Cl,O,OH)_6_"
"Mangano-ferri-eckermannite","NaNa2(Mn2+4Fe3+)Si8O22(OH)2","NaNa_2_(Mn^2+^_4_Fe^3+^)Si_8_O_22_(OH)_2_"
"Manganohörnesite","Mn2+3(AsO4)2·8H2O","Mn^2+^_3_(AsO_4_)_2_·8H_2_O"
"Manganokaskasite","(Mo,Nb)S2·(Mn1-xAlx)(OH)2+x","(Mo,Nb)S_2_·(Mn_1-x_Al_x_)(OH)_2+x_"
"Manganokhomyakovite","Na12Sr3Ca6Mn3Zr3W(Si25O73)(O,OH,H2O)3(Cl,OH)2","Na_12_Sr_3_Ca_6_Mn_3_Zr_3_W(Si_25_O_73_)(O,OH,H_2_O)_3_(Cl,OH)_2_"
"Manganokukisvumite","Na6MnTi4Si8O28·4H2O","Na_6_MnTi_4_Si_8_O_28_·4H_2_O"
"Manganolangbeinite","K2Mn2+2(SO4)3","K_2_Mn^2+^_2_(SO_4_)_3_"
"Mangano-mangani-ungarettiite","NaNa2(Mn2+2Mn3+3)Si8O22O2","NaNa_2_(Mn^2+^_2_Mn^3+^_3_)Si_8_O_22_O_2_"
"Manganonaujakasite","Na6Mn2+Al4Si8O26","Na_6_Mn^2+^Al_4_Si_8_O_26_"
"Manganoneptunite","KNa2LiMn2+2Ti2Si8O24","KNa_2_LiMn^2+^_2_Ti_2_Si_8_O_24_"
"Manganonordite-(Ce)","Na3SrCeMn2+Si6O17","Na_3_SrCeMn^2+^Si_6_O_17_"
"Manganoquadratite","AgMnAsS3","AgMnAsS_3_"
"Manganoschafarzikite","MnSb2O4","MnSb_2_O_4_"
"Manganosegelerite","Mn2+2Fe3+(PO4)2(OH)·4H2O","Mn^2+^_2_Fe^3+^(PO_4_)_2_(OH)·4H_2_O"
"Manganosite","MnO","MnO"
"Manganostibite","Mn2+7Sb5+As5+O12","Mn^2+^_7_Sb^5+^As^5+^O_12_"
"Manganotychite","Na6Mn2+2(CO3)4(SO4)","Na_6_Mn^2+^_2_(CO_3_)_4_(SO_4_)"
"Manganrockbridgeite","Mn2+2Fe3+3(PO4)3(OH)4(H2O)","Mn^2+^_2_Fe^3+^_3_(PO_4_)_3_(OH)_4_(H_2_O)"
"Manganvesuvianite","Ca19Mn3+Al10Mg2(SiO4)10(Si2O7)4O(OH)9","Ca_19_Mn^3+^Al_10_Mg_2_(SiO_4_)_10_(Si_2_O_7_)_4_O(OH)_9_"
"Mangazeite","Al2(SO4)(OH)4·3H2O","Al_2_(SO_4_)(OH)_4_·3H_2_O"
"Manitobaite","Na16Mn2+25Al8(PO4)30","Na_16_Mn^2+^_25_Al_8_(PO_4_)_30_"
"Manjiroite","Na(Mn4+7Mn3+)O16","Na(Mn^4+^_7_Mn^3+^)O_16_"
"Mannardite","Ba(Ti6V3+2)O16","Ba(Ti_6_V^3+^_2_)O_16_"
"Mansfieldite","Al(AsO4)·2H2O","Al(AsO_4_)·2H_2_O"
"Mantienneite","KMg2Al2Ti(PO4)4(OH)3·15H2O","KMg_2_Al_2_Ti(PO_4_)_4_(OH)_3_·15H_2_O"
"Manuelarossiite","PbCaAlF7","PbCaAlF_7_"
"Maohokite","MgFe2O4","MgFe_2_O_4_"
"Maoniupingite-(Ce)","(Ce,Ca)4(Fe3+,Ti,Fe2+,[box])(Ti,Fe3+,Fe2+,Nb)4Si4O22","(Ce,Ca)_4_(Fe^3+^,Ti,Fe^2+^,[box])(Ti,Fe^3+^,Fe^2+^,Nb)_4_Si_4_O_22_"
"Mapimite","Zn2Fe3+3(AsO4)3(OH)4·10H2O","Zn_2_Fe^3+^_3_(AsO_4_)_3_(OH)_4_·10H_2_O"
"Mapiquiroite","(Sr,Pb)(U,Y)Fe2(Ti,Fe3+)18O38","(Sr,Pb)(U,Y)Fe_2_(Ti,Fe^3+^)_18_O_38_"
"Marathonite","Pd25Ge9","Pd_25_Ge_9_"
"Marcasite","FeS2","FeS_2_"
"Marchettiite","C5H7N5O3","C_5_H_7_N_5_O_3_"
"Marcobaldiite","Pb12(Sb3As2Bi)Σ6S21","Pb_12_(Sb_3_As_2_Bi)_Σ6_S_21_"
"Marécottite","Mg3O6(UO2)8(SO4)4(OH)2·28H2O","Mg_3_O_6_(UO_2_)_8_(SO_4_)_4_(OH)_2_·28H_2_O"
"Margaritasite","Cs2(UO2)2(VO4)2·H2O","Cs_2_(UO_2_)_2_(VO_4_)_2_·H_2_O"
"Margarite","CaAl2Si2Al2O10(OH)2","CaAl_2_Si_2_Al_2_O_10_(OH)_2_"
"Margarosanite","Ca2PbSi3O9","Ca_2_PbSi_3_O_9_"
"Mariakrite","[Ca4Al2(OH)12(H2O)4][Fe2S4]","[Ca_4_Al_2_(OH)_12_(H_2_O)_4_][Fe_2_S_4_]"
"Marialite","Na4Al3Si9O24Cl","Na_4_Al_3_Si_9_O_24_Cl"
"Marićite","NaFe2+(PO4)","NaFe^2+^(PO_4_)"
"Maricopaite","Ca2Pb7(Si36Al12)O99·n(H2O,OH)","Ca_2_Pb_7_(Si_36_Al_12_)O_99_·n(H_2_O,OH)"
"Mariinskite","BeCr2O4","BeCr_2_O_4_"
